album_id,album_name,release_date,release_date_precision,total_tracks,album_type
290uzYCaj60pAMPb3mij0p,Randaka Randaka - A.R. Rahman & Harris Jayaraj,2024-08-24,day,12,album
31xnft6hKf7Rt5AbB2YGYR,Le Musk (Original Soundtrack),2024-08-21,day,12,album
7LDKDsG1vXdki3mtSWf7jl,Varalaru (Original Motion Picture Soundtrack),2024-08-20,day,7,album
23HAmfHXpbuaGW2PRgHUu1,Ponniyin Selvan (Original Score),2024-01-06,day,34,album
4usIqGbj46ZA8RD6PT8Ktz,Sangamam (Original Soundtrack),2023-12-11,day,12,album
6vC6jvbclKQ02dk5Ut12fM,Indian (Original Soundtrack),2023-12-11,day,30,album
6L0l4J1xMLxJTvxJSvxVT4,May Maadham (Original Motion Picture Soundtrack),2023-11-25,day,6,album
2ItkLsSI5zZBFNKsUl3SUy,Sangamam (Karaoke),2023-11-15,day,8,album
5y6G8IMGY5L6H1VHLntHaa,Pippa (Original Motion Picture Soundtrack),2023-11-14,day,7,album
16usdr6w04ky5bcxK6zV50,En Swasa Katre (Karaoke),2023-11-07,day,6,album
43nYLMdlUqrMKLH5fl9Fgx,Sapnay (Original Motion Picture Soundtrack),2023-10-20,day,7,album
5IfZGdogDtTK0zRhM6nugQ,AR Rahman Rain Melodies,2023-07-25,day,15,album
48sa3XtM7QQBabRMLYqtgZ,Nayakudu (Original Motion Picture Soundtrack),2023-07-14,day,7,album
7pMOd6mZQQDi7hz6NYOKL0,Maamannan (Original Motion Picture Soundtrack),2023-06-01,day,7,album
53HZq2Bna2DrcoczJqNjss,Rahman - The Master Blaster,2023-04-05,day,10,album
49suOMXRb3AJIseI97Qu1J,Ponniyin Selvan Part - 2 (Original Motion Picture Soundtrack),2023-03-29,day,7,album
2Q9025lUYzEMJLYGyhIU00,PS-2 (Malayalam) - Original Motion Picture Soundtrack,2023-03-29,day,7,album
4XWYJjQBJa1q0RUF9mELFn,PS-2 (Kannada) [Original Motion Picture Soundtrack],2023-03-29,day,7,album
07qw6WgmXr7RzNA9jHIpuD,PS-2 (Hindi) [Original Motion Picture Soundtrack],2023-03-29,day,7,album
1zxYNJ6eWXjcZqZpo4reSI,Rahmans Love Lofis - Vol.5 (Telugu),2023-03-08,day,7,album
6jOW7KKTXFqMiQicp8AfHq,"A.R. Rahman Hits, Vol.2",2023-03-03,day,20,album
2PrJ7vIam7kG234CwFSnwL,Rahmans Love Lofis - Vol.3 (Telugu),2023-02-20,day,7,album
7eBKHNP3IAPfqvZP7CE1t4,Kochadaiiyaan (Original Score),2023-02-20,day,20,album
5N3d00pvonn9vvse6TI42m,Vendhu Thanindhathu Kaadu (Original Score),2023-02-12,day,13,album
5ZiAT6Xo8vtT4B11sg52ut,Rahmans Love Lofis - Vol.1 (Telugu),2023-02-02,day,7,album
6dLjvsbsgfPIapd1CAiMLg,99 Songs (Original Score),2022-12-22,day,29,album
6U9fwE5eyEfj2htufWf9we,Sivaji,2022-04-13,day,7,album
4gAUrEjPH7kC6Hwtnx5uhj,Galatta Kalyaanam,2021-12-13,day,7,album
3UkMnMdm9Jq7eXIfv0YMXm,Atrangi Re,2021-12-06,day,7,album
0DUOcMjmHGVLqFkWqfNC0z,Mimi (Original Motion Picture Soundtrack),2021-07-16,day,7,album
35GdOmCjKeyiMcJVtpAwoG,99 Songs (Telugu) [Original Motion Picture Soundtrack],2021-03-25,day,14,album
4EcPtS9idSB8zy98Cl5yEf,99 Songs (Tamil) [Original Motion Picture Soundtrack],2021-03-25,day,14,album
0qHHd5Y79MOh4XKOJAfuLa,Ace Director Mani Ratnam,2020-12-09,day,10,album
4F2EnyO5MqwbWcRJRneAhC,Hits Of Vairamuthu,2020-07-10,day,20,album
5zrZPXoYsu772sB3CwVuxr,Dil Bechara (Original Motion Picture Soundtrack),2020-07-10,day,9,album
2JA2oTYjsDwDjQuvBleX9F,Rani Se Mardaani,2020-03-20,day,15,album
1zvGX2DvCOUKaRqfcWZrLi,99 Songs (Original Motion Picture Soundtrack),2020-03-20,day,14,album
33eW2vYkSWiOf0IULhP2va,Why? (The Musical),2020,year,9,album
50CnjrIP43au3WYC8ufkur,2.0 (Original Sound Track),2019-06-28,day,15,album
3bxnbterkUaeYkhTUEKBZP,Enthiran (Original Background Score),2018-11-28,day,14,album
4qvZIh9L4jfjwPaAnvTfCZ,Nawab (Original Motion Picture Soundtrack),2018-09-28,day,7,album
6UCpyUkUVuNbWYUSefQVLc,Chekka Chivantha Vaanam (Original Motion Picture Soundtrack),2018-09-28,day,7,album
2bn3hJb93sybWkTYnSJGrT,Harmony with A.R. Rahman,2018-08-15,day,12,album
3052N3DRZYpQ2LM9ftkK1Y,Independence Day Special,2018-08-10,day,13,album
451eS4BHBx3XZXLQG1EkQC,Music Special,2018-04-13,day,9,album
407E0npGz085kKFAiKvEtz,Beyond The Clouds,2018-04-05,day,15,album
7wPoYPGuyAN6bvavLZ8y9E,Rahman All Time Hits,2018-02-07,day,15,album
68pv59EQ8Hf6BDfebTFOus,Birthday Special A.R. Rahman Telugu Hits,2018-01-06,day,10,album
3jpGiDfoss6OFTy9Y6Y0LW,Birthday Special A.R. Rahman Tamil Hits,2018-01-06,day,10,album
1FXEThpTUjegsaxGqpKKGA,The Flying Lotus,2017-10-06,day,9,album
