track_id,popularity,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1LMTbumlu1pGmpQmMmyiyI,23,0.823,0,-7.923,1,0.041,0.0137,0.872,0.0524,0.737,105.003,364907,4
0WEkSTultLXO7yG9NxclXe,14,0.739,1,-9.981,1,0.104,0.00981,0.516,0.0821,0.581,90.005,360173,4
7hYS8RyodojcUHA9XCUZww,12,0.68,2,-8.826,1,0.0638,0.0483,0.0542,0.0695,0.2,92.517,316093,3
6wo8hlbNUfsQMQ36JR5Rf6,12,0.58,7,-10.641,1,0.0309,0.00485,0.48,0.0484,0.577,196.313,449733,1
1z6OPNPyhkUemv7TowwSKm,12,0.8,7,-8.73,0,0.0268,0.0913,0.571,0.0965,0.64,110.03,364013,4
3aHAIHEmp8eAblHJZbnWLl,13,0.736,2,-10.302,1,0.0792,0.0599,0.527,0.0816,0.662,170.023,303627,4
3ijm6IkMgcwD9m6Vqh0OYx,11,0.648,8,-7.636,1,0.0533,0.159,0.843,0.213,0.281,199.995,358587,4
4ydZCzUpceyb5TMfQKKL85,24,0.121,7,-19.344,1,0.0366,0.737,4.37e-06,0.207,0.0785,58.446,161488,5
4Ay5V77pabGVNcqQ7ZpEpy,19,0.435,1,-15.891,1,0.097,0.827,0.816,0.0979,0.0364,145.963,62000,3
2iMYtipkKZQYSsMLnFt2rL,18,0.283,9,-9.66,1,0.0335,0.918,1.2e-05,0.104,0.169,67.761,181638,3
0IKJfr52GxTTEJUwJD4wnI,24,0.158,0,-29.777,1,0.0459,0.847,0.965,0.072,0.0364,90.452,168372,4
2zX00ebDp5muL1Xef9dZ21,18,0.299,0,-20.736,0,0.0405,0.793,0.0973,0.124,0.0379,77.266,206249,4
7HEuMQB0yQadyRYxidMdst,16,0.264,5,-18.444,1,0.0349,0.892,0.873,0.165,0.0321,80.104,262000,4
3YeRZXjGg84FjIbNNd66Mx,15,0.291,5,-22.105,0,0.0325,0.885,0.866,0.0897,0.0607,80.954,187733,4
1P5JFXsqUiZgCczRwPTj67,15,0.111,4,-27.261,0,0.0415,0.981,0.957,0.0858,0.0341,73.721,144000,4
4JuiW7fkMV6X6ry6WEVPQq,15,0.208,9,-16.965,0,0.0377,0.993,0.962,0.0653,0.248,77.858,184000,4
06yWfwh7Nc8ITbT6AQDXpl,23,0.908,2,-10.549,1,0.0764,0.0245,0.00646,0.0578,0.778,130.03,69230,4
6cULAGTj8xgLvDJAC7Hqr7,17,0.522,1,-10.755,0,0.0363,0.0157,0.0697,0.106,0.343,105.043,326061,4
6Zx8YQ156C2lUHkvndJAqI,25,0.273,2,-14.326,0,0.0363,0.416,0.000189,0.116,0.0719,179.445,248043,3
3KuWOgAejiegpDwtWciZqK,32,0.562,10,-6.085,0,0.067,0.148,0.163,0.362,0.686,97.14,96760,4
2bXVvIoXMcAe0ELXpZjwrt,12,0.561,0,-2.899,0,0.054,0.35,0.000424,0.375,0.432,100.971,307320,4
4Qr7sWD9sNITMyBuAEiAlk,10,0.522,1,-1.622,0,0.272,0.382,0.00518,0.387,0.465,159.681,298760,4
1GbkgbNyEfnJcc56yV8cpc,9,0.594,5,-4.331,0,0.109,0.221,0.000143,0.666,0.765,97.125,404240,4
1IOA2RJ7GA5BkKUk1vCaMu,7,0.726,10,-2.872,1,0.11,0.483,0.00022,0.424,0.58,117.834,295240,4
2cU9YcBbBQtKYh9zRsCXKO,7,0.705,9,-3.308,1,0.0579,0.0382,0.000131,0.184,0.572,124.919,311840,4
1UUQdZEFT4JY8rfxyI5ltj,13,0.577,4,-4.867,1,0.0457,0.58,6.32e-05,0.167,0.122,80.0,336400,4
6tRGgGov754NMkc1kIP1kp,18,0.24,11,-8.616,1,0.0743,0.291,0.865,0.334,0.0778,139.302,269688,4
7vNHA1D6QtULeQRUEJxmf1,15,0.168,2,-16.196,0,0.0337,0.665,0.927,0.111,0.0632,112.383,111823,4
2EY98pP4TByNCMPwdT2RoU,16,0.183,7,-9.772,1,0.0457,0.208,0.891,0.0741,0.345,104.756,139987,5
6mkCkVTY9Dixa8Uf24qG16,14,0.338,9,-15.831,0,0.0543,0.814,0.903,0.106,0.0373,129.044,227217,3
6TrRbaFdNSuhb7QsUqUpGy,18,0.485,5,-16.091,1,0.0365,0.132,0.239,0.11,0.0362,179.944,104315,3
18YWQ8js36D2dSVGyz39t8,13,0.209,0,-21.832,0,0.0365,0.939,0.875,0.0921,0.0365,96.665,108595,4
7LkGyHnm72JCqfFd3l0qef,14,0.194,0,-18.871,1,0.0379,0.9,0.884,0.135,0.0309,132.427,151901,4
68ZMpsLIgslIvOueHma0BG,14,0.481,2,-22.167,1,0.0379,0.985,0.559,0.138,0.265,130.944,64974,3
76uiAFoVit3GJKCj3B55Eq,12,0.61,10,-13.21,1,0.11,0.169,0.525,0.116,0.162,56.978,67504,4
1ALVD4zvITjHk4lBWrRah7,15,0.307,11,-19.097,1,0.045,0.371,0.355,0.117,0.0387,78.016,76257,1
0KPRCE7k8Ev0lZ5twY1DDx,12,0.161,5,-14.642,0,0.0411,0.947,0.834,0.121,0.0415,49.886,103948,4
7FD4QqottPHGqeLUtZXENh,14,0.639,0,-13.542,0,0.0813,0.627,0.719,0.0964,0.0857,147.0,60510,4
